doc_id,file_name,packet,document_type,evidence_role,ai_input_mode,priority_score,selected_chunk_count,has_page_images,has_tables,needs_visual_review,level1_input_path
DOC_12314C1C49CF,interim_gras_33_apr_2026.pdf,natural_flavor,pdf_document,regulatory_definition,text_only,42,7,False,False,False,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_12314C1C49CF.level1_input.json
DOC_C5E013D8DC8A,fda_21_cfr_101_22_natural_flavor_definition.pdf,natural_flavor,pdf_document,regulatory_definition,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_C5E013D8DC8A.level1_input.json
DOC_DAEB12849174,fema_gras_program_page.pdf,natural_flavor,pdf_document,regulatory_definition,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_DAEB12849174.level1_input.json
DOC_1164AEC6C38C,natural_flavor_function_in_food_explanation.pdf,natural_flavor,pdf_document,process_or_function_context,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1164AEC6C38C.level1_input.json
DOC_0DD09547ACD4,natural_flavor_extraction_distillation_fermentation_explanation.pdf,natural_flavor,pdf_document,process_or_function_context,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_0DD09547ACD4.level1_input.json
DOC_8E60E28B0A31,efsa_pgpr_e476_reevaluation.pdf,pgpr,pdf_document,regulatory_definition,text_plus_page_images,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_8E60E28B0A31.level1_input.json
DOC_A6A693D3495F,pgpr_and_lecithin_chocolate_emulsifier_use.pdf,pgpr,pdf_document,process_or_function_context,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_A6A693D3495F.level1_input.json
DOC_F398FB109346,pgpr_function_in_chocolate_explanation.pdf,pgpr,pdf_document,process_or_function_context,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_F398FB109346.level1_input.json
DOC_1BE15D0DAB2F,castor_oil_ricinoleic_acid_pgpr_origin_reference.pdf,pgpr,pdf_document,process_or_function_context,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_1BE15D0DAB2F.level1_input.json
DOC_5EE6EEAC2420,pgpr_processing_polyglycerol_ricinoleic_acid_explanation.pdf,pgpr,pdf_document,process_or_function_context,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_5EE6EEAC2420.level1_input.json
DOC_C341E0016B61,fda_lecithin_food_additive_or_gras_reference.pdf,soy_lecithin,pdf_document,regulatory_definition,visual_priority,41,1,True,False,True,D:/HersheySupplyChainAI/artifacts/02_document_artifacts/level1_inputs/DOC_C341E0016B61.level1_input.json
